X1,Unnamed: 0,ClauseID,Doc,SentID,SentForm,ClauseForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,PredFin,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,Obl2PosID,Obl3PosID,NonAlternable,SubjChain,ObjChain,OblChain,Obl2Chain,Obl3Chain,PrevVoice1,PrevVoice2,PrevVoice3,PrevVoice4,PrevVoice5,PrevVoice6,PrevVoice7,PrevVoice8,PrevVoice9,PrevVoice10,X81,X82,X83,X84,X85,X86,X87,X88,X89,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim
2567,2567,2568,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,199,"Do you really think GWB, and neocons in general are representative of true followers of Jesus of Nazareth?","GWB , and neocons in general are representative of true followers of Jesus of Nazareth",A,representative,representative,JJ,/,Tenseless,Simple,Act,5,3.8e-5,Nonfin,/,/,/,/,"GWB , and neocons in general",/,/,GWB;;neocons,8.71e-08;;1.58e-07,def;;indef,Plur,3,/;;human,proper;;full,7,NNP;;NNS,5;;8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2568,2568,2569,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,200,"(I know, ignorant question) Then why call them, or any other phonies 'Christians', even if they themselves claim the appellation.","( I know , ignorant question ) Then why call them , or any other phonies ' Christians ' , even if they themselves claim the appellation .",V,know,know,VBP,Fin,Pres,Simple,Act,1,0.00129,Fin,/,/,/,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1,PRP,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2569,2569,2570,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,200,"(I know, ignorant question) Then why call them, or any other phonies 'Christians', even if they themselves claim the appellation.","Then why call them , or any other phonies ' Christians ' , even if they themselves claim the appellation",V,call,call,VB,Inf,Tenseless,Simple,Act,1,3.16e-4,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"them , or any other phonies",0,/,0.00155;;1e-07,them;;phonies,def;;indef,Plur,3,/;;human,8,PRP;;NNS,pron;;full,11;;16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
2570,2570,2571,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,200,"(I know, ignorant question) Then why call them, or any other phonies 'Christians', even if they themselves claim the appellation.",even if they themselves claim the appellation,V,claim,claim,VBP,Fin,Pres,Simple,Act,1,8.71e-5,Fin,/,/,/,/,they themselves,/,/,they,0.00324,def,Plur,3,/,pron,3,PRP,23,the appellation,0,/,9.33E-07,appellation,def,Sing,3,nonconc,5,NN,full,27,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2571,2571,2572,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,201,They are merely imposters.,They are merely imposters .,N,imposters,imposter,NNS,/,Tenseless,Simple,Act,3,1.74e-7,Nonfin,/,/,/,/,They,/,/,They,0.00324,def,Plur,3,/,pron,1,PRP,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2572,2572,2573,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,202,"Everything they claim is a lie, and this above all.",they claim,V,claim,claim,VBP,Fin,Pres,Simple,Act,1,8.71e-5,Fin,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2573,2573,2574,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,202,"Everything they claim is a lie, and this above all.","Everything they claim is a lie , and this above all .",N,lie,lie,NN,/,Tenseless,Simple,Act,1,6.61e-5,Nonfin,/,/,/,/,Everything they claim and this above all,/,/,Everything;;this,0.000339;;0.00631,indef;;indef,Plur,3,/;;/,full;;det,10,NN;;DT,1;;9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2574,2574,2575,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,203,So why even credit their claims?,So why even credit their claims ?,V,credit,credit,VB,Inf,Tenseless,Simple,Act,2,8.91e-5,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,their claims,0,/,6.61E-05,claims,indef,Plur,3,nonconc,2,NNS,full,6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
2575,2575,2576,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,204,This only serves their purposes.,This only serves their purposes .,V,serves,serve,VBZ,Fin,Pres,Simple,Act,1,2.4e-5,Fin,/,/,/,/,This,/,/,This,0.00631,indef,Sing,3,/,det,1,DT,1,their purposes,0,/,3.89E-05,purposes,indef,Plur,3,nonconc,4,NNS,full,5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2576,2576,2577,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,205,"They want to be identified as 'Christians', and I fully suspect that for some of them, the motivation behind their subterfuge is more than mere political advantage, and has a lot more to do with the black magician's practice of the inversion principle.","They want to be identified as ' Christians ' , and I fully suspect that for some of them , the motivation behind their subterfuge is more than mere political advantage , and has a lot more to do with the black magician 's practice of the inversion principle .",V,want,want,VBP,Fin,Pres,Simple,Act,1,0.00107,Fin,/,/,/,/,They,/,/,They,0.00324,def,Plur,3,/,pron,1,PRP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,4,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2577,2577,2578,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,205,"They want to be identified as 'Christians', and I fully suspect that for some of them, the motivation behind their subterfuge is more than mere political advantage, and has a lot more to do with the black magician's practice of the inversion principle.",They to be identified as ' Christians ',V,identified,identify,VBN,Part,Tenseless,Simple,Pass,4,4.68e-5,Nonfin,/,/,be,be,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,as ' Christians ',as,Christians,2.88E-05,indef,Plur,3,/,3,NNPS,proper,8,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
2578,2578,2579,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,205,"They want to be identified as 'Christians', and I fully suspect that for some of them, the motivation behind their subterfuge is more than mere political advantage, and has a lot more to do with the black magician's practice of the inversion principle.",", and I fully suspect that for some of them , the motivation behind their subterfuge is more than mere political advantage , and has a lot more to do with the black magician 's practice of the inversion principle",V,suspect,suspect,VBP,Fin,Pres,Simple,Act,2,2.95e-5,Fin,/,/,/,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1,PRP,12,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,112,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2579,2579,2580,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,205,"They want to be identified as 'Christians', and I fully suspect that for some of them, the motivation behind their subterfuge is more than mere political advantage, and has a lot more to do with the black magician's practice of the inversion principle.","that for some of them , the motivation behind their subterfuge is more than mere political advantage , and has a lot more to do with the black magician 's practice of the inversion principle",A,more,more,JJR,/,Tenseless,Simple,Act,1,0.00224,Nonfin,/,/,/,/,the motivation behind their subterfuge,/,/,motivation,1.70E-05,def,Sing,3,nonconc,full,11,NN,22,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2580,2580,2581,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,205,"They want to be identified as 'Christians', and I fully suspect that for some of them, the motivation behind their subterfuge is more than mere political advantage, and has a lot more to do with the black magician's practice of the inversion principle.","the motivation behind their subterfuge , and has a lot more to do with the black magician 's practice of the inversion principle",V,has,have,VBZ,Fin,Pres,Simple,Act,1,0.00234,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,a lot more to do with the black magician 's practice of the inversion principle,0,/,0.00224,more,indef,/,3,human,22,JJR,NMA!,37,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2581,2581,2582,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,205,"They want to be identified as 'Christians', and I fully suspect that for some of them, the motivation behind their subterfuge is more than mere political advantage, and has a lot more to do with the black magician's practice of the inversion principle.",to do with the black magician 's practice of the inversion principle,V,do,do,VB,Inf,Tenseless,Simple,Act,1,0.00234,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,with the black magician 's practice of the inversion principle,with,practice,0.000117,indef,Sing,3,nonconc,17,NN,full,45,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2582,2582,2583,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,206,We need to be more 'rigorous' about how we perceive these people.,We need to be more ' rigorous ' about how we perceive these people .,V,need,need,VBP,Fin,Pres,Simple,Act,1,9.12e-4,Fin,/,/,/,/,We,/,/,We,0.00316,def,Plur,1,human,pron,1,PRP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2583,2583,2584,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,206,We need to be more 'rigorous' about how we perceive these people.,We to be more ' rigorous ' about how we perceive these people,A,rigorous,rigorous,JJ,/,Tenseless,Simple,Act,3,5.25e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2584,2584,2585,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,206,We need to be more 'rigorous' about how we perceive these people.,about how we perceive these people,V,perceive,perceive,VBP,Fin,Pres,Simple,Act,2,6.03e-6,Fin,/,/,/,/,we,/,/,we,0.00316,def,Plur,1,human,pron,1,PRP,11,these people,0,/,0.0017,people,def,Plur,3,nonconc,3,NNS,full,14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2585,2585,2586,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,207,"See them as they are, not for what they claim to be.","See them as they are , not for what they claim to be .",V,See,see,VB,Fin,Tenseless,Simple,Act,1,0.00129,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,them,0,/,0.00155,them,def,Plur,3,/,1,PRP,pron,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2586,2586,2587,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,207,"See them as they are, not for what they claim to be.","as they are , not for what they claim to be",V,are,be,VBP,Fin,Pres,Simple,Act,1,0.0055,Fin,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,4,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2587,2587,2588,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,207,"See them as they are, not for what they claim to be.",they claim to be,V,claim,claim,VBP,Fin,Pres,Simple,Act,1,8.71e-5,Fin,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,10,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2588,2588,2589,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,207,"See them as they are, not for what they claim to be.",they to be,V,be,be,VB,Inf,Tenseless,Simple,Act,1,0.00631,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2589,2589,2590,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,208,"... the most extreme forms of heavy metal music - death metal and black metal, music obsessed with images of murder and satanism - and the role of this music is central to the story.","... the most extreme forms of heavy metal music - death metal and black metal , music obsessed with images of murder and satanism - and the role of this music is central to the story .",A,central,central,JJ,/,Tenseless,Simple,Act,2,1.45e-4,Nonfin,/,/,/,/,"... the most extreme forms of heavy metal music - death metal and black metal , music obsessed with images of murder and satanism - and the role of this music .",/,/,forms;;role,6.46e-05;;0.00017,def;;def,Plur,3,conc;;nonconc,full;;full,44,NNS;;NN,5;;28,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2590,2590,2591,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,209,Almost all of the avant guard art movements of the early 20th Century (except for Italian Futurism) were labeled 'degenerate' by the National Socialists.,Almost all of the avant guard art movements of the early 20th Century ( except for Italian Futurism ) were labeled ' degenerate ' by the National Socialists .,V,labeled,label,VBN,Part,Past,Simple,Pass,2,7.08e-6,Fin,/,/,were,be,Almost all of the avant guard art movements of the early 20th Century ( except for Italian Futurism ),/,/,all,0.00331,indef,/,3,/,det,28,DT,2,/,0,/,/,/,/,/,/,/,/,/,/,/,by the National Socialists,by,Socialists,4.57E-06,def,Plur,3,/,7.5,NNPS,proper,28,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2591,2591,2592,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,210,"Adolf Hitler even held an exhibition of 'degenerate art' in 1937, while curating a parallel show of 'Aryan' art across the street.","Adolf Hitler even held an exhibition of ' degenerate art ' in 1937 , while curating a parallel show of ' Aryan ' art across the street .",V,held,hold,VBD,Fin,Past,Simple,Act,1,1.82e-4,Fin,/,/,/,/,Adolf Hitler,/,/,Adolf,2.51E-06,def,Sing,3,/,proper,4,NNP,1,an exhibition of ' degenerate art ',0,/,2.82E-05,exhibition,indef,Sing,3,nonconc,12,NN,full,6,in 1937,in,1937,0.00407,indef,Plur,3,/,1,CD,num,13,/,/,/,/,NA,4,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2592,2592,2593,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,210,"Adolf Hitler even held an exhibition of 'degenerate art' in 1937, while curating a parallel show of 'Aryan' art across the street.",while curating a parallel show of ' Aryan ' art across the street,V,curating,curate,VBG,Ger,Tenseless,Prog,Act,3,2.24e-7,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,a parallel show of ' Aryan ' art,0,/,0.000437,show,indef,Sing,3,nonconc,9,NN,full,19,across the street,across,street,0.000162,def,Sing,3,conc,4,NN,full,27,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adolf Hitler,def,Sing,1,human
2593,2593,2594,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,211,The German Expressionist movement was destroyed as a result.,The German Expressionist movement was destroyed as a result .,V,destroyed,destroy,VBN,Part,Past,Simple,Pass,2,4.37e-5,Fin,/,/,was,be,The German Expressionist movement,/,/,movement,0.000105,def,Sing,3,conc,full,9,NN,4,/,0,/,/,/,/,/,/,/,/,/,/,/,as a result,as,result,0.000166,indef,Sing,3,conc,4,NN,full,9,/,/,/,/,NA,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,the Nazis,def,Plur,3,org
2594,2594,2595,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,214,"Ironically (or perhaps not), the notion of the 'degenerate' and 'degenerate art' was appropriated by the Nazis and its origins can be traced back to Jewish 'intellectual' Max Nordau and a 1892 book he authored called Degeneration. .","Ironically ( or perhaps not ) , the notion of the ' degenerate ' and ' degenerate art ' was appropriated by the Nazis and its origins can be traced back to Jewish ' intellectual ' Max Nordau and a 1892 book he authored called Degeneration . .",V,appropriated,appropriate,VBN,Part,Past,Simple,Pass,5,1.51e-6,Fin,/,/,was,be,the notion of the ' degenerate ' and ' degenerate art ',/,/,notion,1.55E-05,def,Sing,3,conc,full,17,NN,9,/,0,/,/,/,/,/,/,/,/,/,/,/,by the Nazis,by,Nazis,8.13E-06,def,Plur,3,/,4,NNPS,proper,24,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2595,2595,2596,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,214,"Ironically (or perhaps not), the notion of the 'degenerate' and 'degenerate art' was appropriated by the Nazis and its origins can be traced back to Jewish 'intellectual' Max Nordau and a 1892 book he authored called Degeneration. .",and its origins can be traced back to Jewish ' intellectual ' Max Nordau and a 1892 book he authored called Degeneration,V,traced,trace,VBN,Part,Tenseless,Simple,Pass,1,6.31e-6,Fin,/,can,be,be,its origins,/,/,origins,1.29E-05,indef,Plur,3,loc,full,4,NNS,27,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Pass,Act,Act,Pass,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,/
2596,2596,2597,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,214,"Ironically (or perhaps not), the notion of the 'degenerate' and 'degenerate art' was appropriated by the Nazis and its origins can be traced back to Jewish 'intellectual' Max Nordau and a 1892 book he authored called Degeneration. .",he authored,V,authored,author,VBD,Fin,Past,Simple,Act,2,2.19e-6,Fin,/,/,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,43,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Pass,Pass,Act,Act,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2597,2597,2598,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,214,"Ironically (or perhaps not), the notion of the 'degenerate' and 'degenerate art' was appropriated by the Nazis and its origins can be traced back to Jewish 'intellectual' Max Nordau and a 1892 book he authored called Degeneration. .",called Degeneration,V,called,call,VBN,Part,Tenseless,Simple,Pass,1,3.98e-4,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Pass,Pass,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2598,2598,2599,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,215,Nordau was also the co founder of the World Zionist Organization.,Nordau was also the co founder of the World Zionist Organization .,N,founder,founder,NN,/,Tenseless,Simple,Act,2,2.45e-5,Nonfin,/,/,/,/,Nordau,/,/,Nordau,2.40E-08,def,Sing,3,/,proper,2,NNP,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Pass,Pass,Pass,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2599,2599,2600,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,216,"When the apparently cognitively functional take actions that seem senseless and incompetent, it is a most certain sign that they have ulterior or hidden motives.",When the apparently cognitively functional take actions that seem senseless and incompetent,V,take,take,VBP,Fin,Pres,Simple,Act,1,8.13e-4,Fin,/,/,/,/,the apparently cognitively functional,/,/,functional,1.86E-05,def,/,3,/,NMA!,13,JJ,5,actions that seem senseless and incompetent,0,/,6.61E-05,actions,indef,Plur,3,conc,11,NNS,full,7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Act,Pass,Pass,Pass,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2600,2600,2601,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,216,"When the apparently cognitively functional take actions that seem senseless and incompetent, it is a most certain sign that they have ulterior or hidden motives.",actions that seem senseless and incompetent,V,seem,seem,VBP,Fin,Pres,Simple,Act,1,1.17e-4,Fin,/,/,/,/,that,/,/,that,0.0105,indef,/,3,/,wh,1,WDT,8,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,21,/,/,/,/,Act,Act,Pass,Act,Pass,Pass,Pass,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2601,2601,2602,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,216,"When the apparently cognitively functional take actions that seem senseless and incompetent, it is a most certain sign that they have ulterior or hidden motives.","When the apparently cognitively functional take actions that seem senseless and incompetent , it is a most certain sign that they have ulterior or hidden motives .",N,sign,sign,NN,/,Tenseless,Simple,Act,1,1.15e-4,Nonfin,/,/,/,/,it,/,/,it,0.00912,def,Sing,3,nonconc,pron,1,PRP,14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Pass,Act,Pass,Pass,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2602,2602,2603,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,216,"When the apparently cognitively functional take actions that seem senseless and incompetent, it is a most certain sign that they have ulterior or hidden motives.",that they have ulterior or hidden motives,V,have,have,VBP,Fin,Pres,Simple,Act,1,0.00501,Fin,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,21,ulterior or hidden motives,0,/,5.50E-06,motives,indef,Plur,3,conc,9,NNS,full,26,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Pass,Pass,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2603,2603,2604,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300,217,"They trust you and me to be befuddled by their actions, while they ""do as they wilt.""","They trust you and me to be befuddled by their actions , while they "" do as they wilt . """,V,trust,trust,VBP,Fin,Pres,Simple,Act,1,1.29e-4,Fin,/,/,/,/,They,/,/,They,0.00324,def,Plur,3,/,pron,1,PRP,1,you and me,0,/,0.00977;;0.00331,you;;me,def;;def,Plur,2,human;;human,3,PRP;;PRP,pron;;pron,3;;5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Pass,Act,Pass,Pass,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
